Data_source	MAG_name	Cluster	Species	Rank
TARA	TOA-bin-2410	324_0	species_368	species_rep
TARA	TOA-bin-3140	325_0	species_369	species_rep
TARA	TOA-bin-451	326_0	species_370	species_rep
MOSAiC	mosaic_3300046103_35	327_0	species_371	species_rep
TARA	TOA-bin-1684	328_1	species_372	species_rep
TARA	TOA-bin-2951	328_2	species_373	species_rep
FRAM18	FRAM18_4502_G_concoct_bin_16	329_1	species_374	species_member
FRAM18	FRAM18_4502_H_metabat_bin_03	329_1	species_374	species_rep
MOSAiC	mosaic_3300046450_91	329_1	species_374	species_member
TARA	TOA-bin-2566	330_0	species_375	species_rep
FRAM18	FRAM18_4502_F_maxbin_bin_01	331_1	species_376	species_member
FRAM18	FRAM18_4502_H_concoct_bin_03	331_1	species_376	species_rep
MOSAiC	mosaic_3300046532_29	331_1	species_376	species_member
TARA	TOA-bin-1648	332_0	species_377	species_rep
TARA	TOA-bin-2077	333_0	species_378	species_rep
MOSAiC	mosaic_3300046532_14	334_0	species_379	species_rep
FRAM18	FRAM18_4514_C_metabat_bin_05	335_0	species_380	species_rep
TARA	TOA-bin-1736	336_0	species_381	species_rep
TARA	TOA-bin-1411	337_0	species_382	species_rep
FRAM18	FRAM18_4502_E_concoct_bin_20	338_1	species_383	species_member
FRAM_EGC	FRAM_RAS_EGC1617_bin13	338_1	species_383	species_rep
MOSAiC	mosaic_3300047669_86	338_1	species_383	species_member
MOSAiC	mosaic_3300046103_134	338_2	species_384	species_rep
TARA	TOA-bin-797	339_1	species_385	species_rep
MOSAiC	mosaic_3300046467_126	339_1	species_385	species_member
MOSAiC	mosaic_3300045738_73	340_0	species_386	species_rep
TARA	TOA-bin-1753	341_0	species_387	species_rep
TARA	TOA-bin-3376	342_0	species_388	species_rep
FRAM18	FRAM18_4514_B_concoct_bin_09	343_1	species_389	species_rep
FRAM18	FRAM18_4514_B_maxbin_bin_02	343_1	species_389	species_member
MOSAiC	mosaic_3300047668_24	343_1	species_389	species_member
FRAM18	FRAM18_4502_H_metabat_bin_01	343_2	species_390	species_member
FRAM18	FRAM18_4514_B_maxbin_bin_01	343_2	species_390	species_rep
FRAM18	FRAM18_4571_PB_H_metabat_bin_26	343_2	species_390	species_member
FRAM18	FRAM18_4571_PB_K_concoct_bin_15	343_3	species_391	species_rep
TARA	TOA-bin-580	344_0	species_392	species_rep
TARA	TOA-bin-2029	345_0	species_393	species_rep
MOSAiC	mosaic_3300046467_58	346_0	species_394	species_rep
MOSAiC	mosaic_3300047669_19	347_0	species_395	species_rep
MOSAiC	mosaic_3300046450_83	348_1	species_396	species_rep
MOSAiC	mosaic_3300046467_124	348_2	species_397	species_rep
MOSAiC	mosaic_3300046467_178	349_1	species_398	species_rep
MOSAiC	mosaic_3300046532_12	349_2	species_399	species_rep
MOSAiC	mosaic_3300045738_71	350_0	species_400	species_rep
TARA	TOA-bin-1313	351_1	species_401	species_member
MOSAiC	mosaic_3300046532_76	351_1	species_401	species_rep
TARA	TOA-bin-2967	352_0	species_402	species_rep
TARA	TOA-bin-536	353_0	species_403	species_rep
TARA	TOA-bin-2276	354_0	species_404	species_rep
TARA	TOA-bin-2506	355_0	species_405	species_rep
TARA	TOA-bin-888	356_0	species_406	species_rep
TARA	TOA-bin-1625	357_0	species_407	species_rep
MOSAiC	mosaic_3300045738_83	358_0	species_408	species_rep
FRAM18	FRAM18_4571_PB_I_concoct_bin_09	359_0	species_409	species_rep
TARA	TOA-bin-2605	360_0	species_410	species_rep
TARA	TOA-bin-3011	361_0	species_411	species_rep
TARA	TOA-bin-2554	362_0	species_412	species_rep
FRAM18	FRAM18_4502_J_concoct_bin_02	363_1	species_413	species_rep
TARA	TOA-bin-1531	363_2	species_414	species_rep
TARA	TOA-bin-3385	364_0	species_415	species_rep
TARA	TOA-bin-1878	365_0	species_416	species_rep
TARA	TOA-bin-840	366_0	species_417	species_rep
TARA	TOA-bin-30	367_0	species_418	species_rep
TARA	TOA-bin-3202	368_0	species_419	species_rep
FRAM18	FRAM18_4514_B_metabat_bin_01	369_1	species_420	species_rep
TARA	TOA-bin-1330	369_1	species_420	species_member
TARA	TOA-bin-2565	370_0	species_421	species_rep
TARA	TOA-bin-398	371_0	species_422	species_rep
FRAM18	FRAM18_4502_G_concoct_bin_07	372_1	species_423	species_rep
TARA	TOA-bin-2073	372_1	species_423	species_member
TARA	TOA-bin-2852	372_1	species_423	species_member
TARA	TOA-bin-1683	373_0	species_424	species_rep
TARA	TOA-bin-498	374_0	species_425	species_rep
TARA	TOA-bin-3349	375_0	species_426	species_rep
MOSAiC	mosaic_3300046467_171	376_0	species_427	species_rep
FRAM18	FRAM18_4571_PB_H_maxbin_bin_01	377_0	species_428	species_rep
FRAM18	FRAM18_4571_PB_K_metabat_bin_27	378_0	species_429	species_rep
TARA	TOA-bin-3418	379_0	species_430	species_rep
FRAM18	FRAM18_4502_K_metabat_bin_12	380_1	species_431	species_member
FRAM18	FRAM18_4571_PB_K_metabat_bin_30	380_1	species_431	species_rep
TARA	TOA-bin-594	381_0	species_432	species_rep
FRAM18	FRAM18_4502_J_maxbin_bin_01	382_1	species_433	species_member
FRAM18	FRAM18_4514_B_concoct_bin_18	382_1	species_433	species_rep
FRAM18	FRAM18_4514_C_metabat_bin_04	382_1	species_433	species_member
FRAM18	FRAM18_4571_PB_I_concoct_bin_06	382_1	species_433	species_member
TARA	TOA-bin-2512	382_1	species_433	species_member
FRAM_EGC	FRAM_RAS_EGC1617_bin27	383_0	species_434	species_rep
MOSAiC	mosaic_3300046532_37	384_0	species_435	species_rep
FRAM18	FRAM18_4502_J_concoct_bin_08	385_1	species_436	species_rep
TARA	TOA-bin-3074	385_1	species_436	species_member
TARA	TOA-bin-2412	386_0	species_437	species_rep
TARA	TOA-bin-3435	387_0	species_438	species_rep
FRAM_EGC	FRAM_RAS_EGC1617_bin12	388_0	species_439	species_rep
MOSAiC	mosaic_3300045738_18	389_0	species_440	species_rep
TARA	TOA-bin-2166	390_0	species_441	species_rep
FRAM18	FRAM18_4502_G_concoct_bin_04	391_1	species_442	species_member
FRAM18	FRAM18_4502_I_metabat_bin_01	391_1	species_442	species_member
FRAM18	FRAM18_4502_J_metabat_bin_03	391_1	species_442	species_member
FRAM18	FRAM18_4514_B_metabat_bin_03	391_1	species_442	species_member
FRAM18	FRAM18_4571_PB_I_metabat_bin_20	391_1	species_442	species_rep
TARA	TOA-bin-983	392_0	species_443	species_rep
TARA	TOA-bin-380	393_0	species_444	species_rep
TARA	TOA-bin-431	394_0	species_445	species_rep
TARA	TOA-bin-3091	395_0	species_446	species_rep
TARA	TOA-bin-2505	396_0	species_447	species_rep
TARA	TOA-bin-3016	397_0	species_448	species_rep
TARA	TOA-bin-612	398_1	species_449	species_member
MOSAiC	mosaic_3300046103_93	398_1	species_449	species_rep
TARA	TOA-bin-69	398_2	species_450	species_rep
TARA	TOA-bin-2298	399_0	species_451	species_rep
TARA	TOA-bin-2141	400_0	species_452	species_rep
FRAM18	FRAM18_4502_I_concoct_bin_10	401_1	species_453	species_rep
FRAM18	FRAM18_4514_D_metabat_bin_12	401_1	species_453	species_member
FRAM18	FRAM18_4514_B_concoct_bin_03	401_2	species_454	species_member
FRAM18	FRAM18_4571_PB_I_concoct_bin_16	401_2	species_454	species_rep
FRAM18	FRAM18_4502_J_concoct_bin_04	402_1	species_455	species_rep
FRAM18	FRAM18_4514_B_concoct_bin_17	402_1	species_455	species_member
TARA	TOA-bin-3178	403_0	species_456	species_rep
FRAM18	FRAM18_4502_K_metabat_bin_07	404_1	species_457	species_member
FRAM18	FRAM18_4514_D_metabat_bin_07	404_1	species_457	species_member
FRAM18	FRAM18_4571_PB_K_concoct_bin_01	404_1	species_457	species_rep
FRAM18	FRAM18_4502_K_metabat_bin_09	405_1	species_458	species_rep
FRAM18	FRAM18_4571_PB_K_metabat_bin_17	405_1	species_458	species_member
TARA	TOA-bin-448	405_1	species_458	species_member
TARA	TOA-bin-232	405_2	species_459	species_rep
FRAM18	FRAM18_4502_K_metabat_bin_14	406_1	species_460	species_rep
FRAM18	FRAM18_4571_PB_K_metabat_bin_34	406_2	species_461	species_rep
FRAM18	FRAM18_4571_PB_K_metabat_bin_29	407_0	species_462	species_rep
FRAM18	FRAM18_4502_K_metabat_bin_04	408_1	species_463	species_member
FRAM18	FRAM18_4514_B_metabat_bin_05	408_1	species_463	species_member
FRAM18	FRAM18_4514_D_metabat_bin_01	408_1	species_463	species_member
FRAM18	FRAM18_4571_PB_I_metabat_bin_15	408_1	species_463	species_rep
FRAM18	FRAM18_4571_PB_K_concoct_bin_17	408_1	species_463	species_member
FRAM18	FRAM18_4502_F_concoct_bin_09	408_2	species_464	species_rep
FRAM18	FRAM18_4502_G_concoct_bin_08	408_2	species_464	species_member
FRAM18	FRAM18_4502_H_concoct_bin_09	408_2	species_464	species_member
FRAM18	FRAM18_4502_J_metabat_bin_08	408_2	species_464	species_member
FRAM18	FRAM18_4571_PB_H_concoct_bin_09	409_1	species_465	species_member
FRAM18	FRAM18_4571_PB_H_concoct_bin_10	409_1	species_465	species_rep
FRAM_EGC	FRAM_RAS_EGC1617_bin24	409_1	species_465	species_member
TARA	TOA-bin-1207	409_1	species_465	species_member
TARA	TOA-bin-3006	409_1	species_465	species_member
FRAM18	FRAM18_4502_I_concoct_bin_13	409_2	species_466	species_rep
FRAM18	FRAM18_4502_J_metabat_bin_02	410_1	species_467	species_rep
FRAM18	FRAM18_4502_K_concoct_bin_04	410_1	species_467	species_member
FRAM18	FRAM18_4514_D_metabat_bin_04	410_1	species_467	species_member
FRAM18	FRAM18_4571_PB_K_metabat_bin_06	410_1	species_467	species_member
TARA	TOA-bin-2829	410_1	species_467	species_member
TARA	TOA-bin-3115	411_0	species_468	species_rep
TARA	TOA-bin-439	412_1	species_469	species_rep
TARA	TOA-bin-813	412_2	species_470	species_rep
FRAM18	FRAM18_4502_G_concoct_bin_09	413_0	species_471	species_rep
MOSAiC	mosaic_3300046467_144	414_0	species_472	species_rep
FRAM18	FRAM18_4502_I_metabat_bin_03	415_1	species_473	species_member
FRAM18	FRAM18_4514_B_concoct_bin_10	415_1	species_473	species_member
FRAM18	FRAM18_4571_PB_I_concoct_bin_12	415_1	species_473	species_rep
TARA	TOA-bin-2426	415_1	species_473	species_member
TARA	TOA-bin-2241	416_0	species_474	species_rep
TARA	TOA-bin-3125	417_0	species_475	species_rep
FRAM18	FRAM18_4571_PB_K_concoct_bin_04	418_1	species_476	species_member
FRAM_EGC	FRAM_RAS_EGC1617_bin30	418_1	species_476	species_member
MOSAiC	mosaic_3300047668_106	418_1	species_476	species_rep
TARA	TOA-bin-3081	419_1	species_477	species_rep
TARA	TOA-bin-92	419_1	species_477	species_member
TARA	TOA-bin-2416	420_1	species_478	species_rep
TARA	TOA-bin-2523	420_1	species_478	species_member
TARA	TOA-bin-1491	421_0	species_479	species_rep
TARA	TOA-bin-1363	422_1	species_480	species_rep
MOSAiC	mosaic_3300046532_163	422_1	species_480	species_member
TARA	TOA-bin-3452	423_0	species_481	species_rep
FRAM18	FRAM18_4502_H_metabat_bin_02	424_1	species_482	species_member
FRAM18	FRAM18_4571_PB_I_metabat_bin_14	424_1	species_482	species_rep
TARA	TOA-bin-3134	425_0	species_483	species_rep
TARA	TOA-bin-3333	426_0	species_484	species_rep
FRAM18	FRAM18_4571_PB_K_concoct_bin_09	427_0	species_485	species_rep
TARA	TOA-bin-2206	428_0	species_486	species_rep
FRAM18	FRAM18_4571_PB_I_metabat_bin_02	429_1	species_487	species_rep
FRAM18	FRAM18_4571_PB_I_metabat_bin_13	429_2	species_488	species_rep
TARA	TOA-bin-1406	430_0	species_489	species_rep
TARA	TOA-bin-618	431_0	species_490	species_rep
TARA	TOA-bin-81	432_0	species_491	species_rep
FRAM18	FRAM18_4514_A_concoct_bin_08	433_1	species_492	species_rep
TARA	TOA-bin-608	433_2	species_493	species_rep
FRAM18	FRAM18_4502_I_metabat_bin_06	433_3	species_494	species_member
FRAM18	FRAM18_4502_J_concoct_bin_01	433_3	species_494	species_member
FRAM18	FRAM18_4571_PB_I_concoct_bin_17	433_3	species_494	species_rep
TARA	TOA-bin-1541	433_3	species_494	species_member
TARA	TOA-bin-1478	433_4	species_495	species_rep
MOSAiC	mosaic_3300046532_145	433_5	species_496	species_rep
FRAM18	FRAM18_4502_E_concoct_bin_11	434_1	species_497	species_rep
FRAM18	FRAM18_4502_I_concoct_bin_15	434_1	species_497	species_member
FRAM18	FRAM18_4502_K_metabat_bin_05	434_1	species_497	species_member
FRAM_EGC	FRAM_RAS_EGC1617_bin18	434_1	species_497	species_member
FRAM18	FRAM18_4571_PB_K_concoct_bin_05	435_0	species_498	species_rep
TARA	TOA-bin-156	436_0	species_499	species_rep
FRAM18	FRAM18_4514_A_concoct_bin_06	437_1	species_500	species_rep
FRAM18	FRAM18_4571_PB_H_metabat_bin_27	437_1	species_500	species_member
FRAM18	FRAM18_4571_PB_H_metabat_bin_28	437_1	species_500	species_member
FRAM_EGC	FRAM_RAS_EGC1617_bin28	437_1	species_500	species_member
TARA	TOA-bin-986	437_2	species_501	species_rep
TARA	TOA-bin-1773	438_0	species_502	species_rep
TARA	TOA-bin-1118	439_0	species_503	species_rep
FRAM18	FRAM18_4514_B_metabat_bin_02	440_1	species_504	species_member
FRAM18	FRAM18_4571_PB_K_metabat_bin_31	440_1	species_504	species_rep
FRAM_EGC	FRAM_RAS_EGC1617_bin37	440_1	species_504	species_member
TARA	TOA-bin-1019	441_0	species_505	species_rep
TARA	TOA-bin-1244	442_0	species_506	species_rep
TARA	TOA-bin-668	443_0	species_507	species_rep
TARA	TOA-bin-985	444_0	species_508	species_rep
TARA	TOA-bin-3503	445_0	species_509	species_rep
TARA	TOA-bin-2025	446_0	species_510	species_rep
TARA	TOA-bin-1748	447_0	species_511	species_rep
TARA	TOA-bin-3073	448_1	species_512	species_rep
TARA	TOA-bin-3175	448_2	species_513	species_rep
TARA	TOA-bin-3162	449_0	species_514	species_rep
TARA	TOA-bin-2819	450_0	species_515	species_rep
TARA	TOA-bin-103	451_1	species_516	species_rep
TARA	TOA-bin-1731	451_2	species_517	species_rep
FRAM18	FRAM18_4502_I_concoct_bin_08	452_1	species_518	species_rep
FRAM18	FRAM18_4571_PB_I_concoct_bin_02	452_1	species_518	species_member
FRAM18	FRAM18_4571_PB_I_metabat_bin_21	452_2	species_519	species_member
FRAM18	FRAM18_4571_PB_K_metabat_bin_07	452_2	species_519	species_rep
TARA	TOA-bin-2175	452_3	species_520	species_rep
TARA	TOA-bin-456	453_0	species_521	species_rep
FRAM18	FRAM18_4502_F_metabat_bin_09	454_1	species_522	species_rep
TARA	TOA-bin-2618	454_1	species_522	species_member
TARA	TOA-bin-40	455_0	species_523	species_rep
FRAM18	FRAM18_4502_E_metabat_bin_09	456_1	species_524	species_member
FRAM18	FRAM18_4502_F_metabat_bin_06	456_1	species_524	species_member
FRAM18	FRAM18_4502_G_metabat_bin_08	456_1	species_524	species_member
FRAM18	FRAM18_4502_H_metabat_bin_09	456_1	species_524	species_member
FRAM18	FRAM18_4502_I_concoct_bin_14	456_1	species_524	species_member
FRAM18	FRAM18_4502_J_concoct_bin_07	456_1	species_524	species_member
FRAM18	FRAM18_4514_A_concoct_bin_09	456_1	species_524	species_member
FRAM18	FRAM18_4514_B_concoct_bin_16	456_1	species_524	species_member
FRAM18	FRAM18_4571_PB_H_metabat_bin_09	456_1	species_524	species_member
FRAM18	FRAM18_4571_PB_H_metabat_bin_10	456_1	species_524	species_rep
FRAM18	FRAM18_4571_PB_I_metabat_bin_01	456_1	species_524	species_member
TARA	TOA-bin-1416	457_0	species_525	species_rep
FRAM18	FRAM18_4514_D_metabat_bin_06	458_0	species_526	species_rep
TARA	TOA-bin-2750	459_0	species_527	species_rep
FRAM18	FRAM18_4571_PB_H_concoct_bin_12	460_1	species_528	species_member
FRAM18	FRAM18_4571_PB_H_concoct_bin_13	460_1	species_528	species_rep
FRAM18	FRAM18_4571_PB_I_metabat_bin_18	460_2	species_529	species_rep
FRAM18	FRAM18_4571_PB_K_concoct_bin_11	461_1	species_530	species_rep
TARA	TOA-bin-998	461_2	species_531	species_rep
TARA	TOA-bin-2413	462_0	species_532	species_rep
TARA	TOA-bin-1045	463_0	species_533	species_rep
TARA	TOA-bin-262	464_0	species_534	species_rep
FRAM18	FRAM18_4571_PB_K_metabat_bin_05	465_1	species_535	species_rep
TARA	TOA-bin-3141	465_1	species_535	species_member
FRAM18	FRAM18_4502_H_concoct_bin_12	466_1	species_536	species_member
FRAM18	FRAM18_4502_K_metabat_bin_02	466_1	species_536	species_member
FRAM18	FRAM18_4571_PB_H_metabat_bin_12	466_1	species_536	species_member
FRAM18	FRAM18_4571_PB_K_concoct_bin_22	466_1	species_536	species_rep
TARA	TOA-bin-2400	466_1	species_536	species_member
TARA	TOA-bin-1973	467_0	species_537	species_rep
TARA	TOA-bin-3371	468_0	species_538	species_rep
FRAM18	FRAM18_4502_E_concoct_bin_17	469_1	species_539	species_member
FRAM18	FRAM18_4502_F_concoct_bin_02	469_1	species_539	species_member
FRAM18	FRAM18_4502_G_concoct_bin_02	469_1	species_539	species_rep
FRAM18	FRAM18_4502_H_concoct_bin_02	469_1	species_539	species_member
FRAM18	FRAM18_4514_A_metabat_bin_03	469_1	species_539	species_member
FRAM18	FRAM18_4514_C_metabat_bin_07	469_1	species_539	species_member
TARA	TOA-bin-2920	469_1	species_539	species_member
TARA	TOA-bin-636	470_0	species_540	species_rep
FRAM18	FRAM18_4571_PB_H_concoct_bin_01	471_1	species_541	species_rep
TARA	TOA-bin-511	471_2	species_542	species_rep
TARA	TOA-bin-2499	472_0	species_543	species_rep
FRAM18	FRAM18_4502_E_metabat_bin_01	473_1	species_544	species_member
FRAM18	FRAM18_4502_H_concoct_bin_08	473_1	species_544	species_member
FRAM18	FRAM18_4571_PB_H_concoct_bin_02	473_1	species_544	species_member
FRAM18	FRAM18_4571_PB_K_metabat_bin_21	473_1	species_544	species_rep
TARA	TOA-bin-1324	474_1	species_545	species_member
TARA	TOA-bin-1964	474_1	species_545	species_rep
MOSAiC	mosaic_3300045738_202	474_1	species_545	species_member
TARA	TOA-bin-2005	475_0	species_546	species_rep
FRAM18	FRAM18_4502_I_concoct_bin_07	476_1	species_547	species_member
FRAM18	FRAM18_4571_PB_I_metabat_bin_09	476_1	species_547	species_rep
FRAM18	FRAM18_4571_PB_K_concoct_bin_19	476_1	species_547	species_member
FRAM18	FRAM18_4502_I_metabat_bin_05	477_1	species_548	species_rep
FRAM18	FRAM18_4514_B_metabat_bin_07	477_1	species_548	species_member
FRAM18	FRAM18_4514_C_concoct_bin_01	477_1	species_548	species_member
FRAM18	FRAM18_4514_D_metabat_bin_03	477_1	species_548	species_member
FRAM18	FRAM18_4571_PB_K_metabat_bin_26	477_1	species_548	species_member
TARA	TOA-bin-1896	477_1	species_548	species_member
TARA	TOA-bin-2328	477_2	species_549	species_rep
FRAM18	FRAM18_4502_J_metabat_bin_07	478_1	species_550	species_rep
FRAM18	FRAM18_4514_B_metabat_bin_08	478_1	species_550	species_member
TARA	TOA-bin-1696	478_2	species_551	species_rep
TARA	TOA-bin-150	479_0	species_552	species_rep
TARA	TOA-bin-3310	480_0	species_553	species_rep
MOSAiC	mosaic_3300046451_79	481_0	species_554	species_rep
FRAM18	FRAM18_4571_PB_H_concoct_bin_05	482_1	species_555	species_member
FRAM18	FRAM18_4571_PB_H_concoct_bin_06	482_1	species_555	species_rep
FRAM18	FRAM18_4514_D_metabat_bin_02	483_1	species_556	species_member
FRAM18	FRAM18_4571_PB_K_concoct_bin_10	483_1	species_556	species_rep
TARA	TOA-bin-1371	483_1	species_556	species_member
FRAM18	FRAM18_4514_A_concoct_bin_05	484_1	species_557	species_member
FRAM18	FRAM18_4571_PB_I_metabat_bin_19	484_1	species_557	species_member
FRAM18	FRAM18_4571_PB_K_metabat_bin_01	484_1	species_557	species_member
TARA	TOA-bin-2118	484_1	species_557	species_rep
FRAM18	FRAM18_4571_PB_H_metabat_bin_19	484_2	species_558	species_member
FRAM18	FRAM18_4571_PB_K_metabat_bin_19	484_2	species_558	species_rep
FRAM18	FRAM18_4571_PB_K_metabat_bin_28	485_0	species_559	species_rep
FRAM18	FRAM18_4514_D_concoct_bin_07	486_1	species_560	species_rep
FRAM18	FRAM18_4571_PB_K_concoct_bin_14	486_1	species_560	species_member
FRAM18	FRAM18_4502_I_concoct_bin_16	487_1	species_561	species_member
FRAM18	FRAM18_4502_J_metabat_bin_10	487_1	species_561	species_member
FRAM18	FRAM18_4502_K_metabat_bin_01	487_1	species_561	species_member
FRAM18	FRAM18_4514_B_concoct_bin_12	487_1	species_561	species_rep
FRAM18	FRAM18_4514_D_concoct_bin_08	487_1	species_561	species_member
FRAM18	FRAM18_4571_PB_I_metabat_bin_16	487_1	species_561	species_member
FRAM18	FRAM18_4571_PB_K_metabat_bin_35	487_1	species_561	species_member
TARA	TOA-bin-2953	487_2	species_562	species_rep
FRAM18	FRAM18_4502_J_metabat_bin_06	488_0	species_563	species_rep
TARA	TOA-bin-3120	489_0	species_564	species_rep
TARA	TOA-bin-2772	490_1	species_565	species_rep
TARA	TOA-bin-2832	490_2	species_566	species_rep
MOSAiC	mosaic_3300045738_195	491_0	species_567	species_rep
FRAM18	FRAM18_4502_E_metabat_bin_07	492_0	species_568	species_rep
TARA	TOA-bin-1341	493_0	species_569	species_rep
MOSAiC	mosaic_3300045738_76	494_0	species_570	species_rep
TARA	TOA-bin-3379	495_1	species_571	species_rep
TARA	TOA-bin-417	495_2	species_572	species_rep
MOSAiC	mosaic_3300045738_25	496_1	species_573	species_rep
MOSAiC	mosaic_3300046451_73	496_2	species_574	species_rep
MOSAiC	mosaic_3300045738_11	497_0	species_575	species_rep
FRAM18	FRAM18_4502_G_concoct_bin_01	498_1	species_576	species_rep
FRAM18	FRAM18_4502_J_metabat_bin_01	498_1	species_576	species_member
FRAM18	FRAM18_4514_B_metabat_bin_06	498_1	species_576	species_member
TARA	TOA-bin-3320	498_2	species_577	species_rep
FRAM18	FRAM18_4571_PB_K_metabat_bin_39	499_0	species_578	species_rep
FRAM18	FRAM18_4502_I_concoct_bin_05	500_1	species_579	species_member
FRAM18	FRAM18_4502_J_metabat_bin_05	500_1	species_579	species_member
FRAM18	FRAM18_4571_PB_I_concoct_bin_11	500_1	species_579	species_rep
FRAM18	FRAM18_4502_I_concoct_bin_04	501_1	species_580	species_member
FRAM18	FRAM18_4502_K_concoct_bin_02	501_1	species_580	species_member
FRAM18	FRAM18_4514_D_concoct_bin_03	501_1	species_580	species_rep
FRAM18	FRAM18_4571_PB_I_metabat_bin_17	501_1	species_580	species_member
FRAM18	FRAM18_4571_PB_K_concoct_bin_16	501_1	species_580	species_member
FRAM18	FRAM18_4571_PB_K_concoct_bin_02	502_1	species_581	species_rep
TARA	TOA-bin-1049	502_2	species_582	species_rep
TARA	TOA-bin-2282	503_0	species_583	species_rep
TARA	TOA-bin-3390	504_1	species_584	species_rep
MOSAiC	mosaic_3300046532_25	504_1	species_584	species_member
MOSAiC	mosaic_3300046451_74	505_0	species_585	species_rep
MOSAiC	mosaic_3300046532_55	506_1	species_586	species_rep
MOSAiC	mosaic_3300047668_73	506_2	species_587	species_rep
FRAM18	FRAM18_4502_E_concoct_bin_09	507_1	species_588	species_member
FRAM18	FRAM18_4502_H_metabat_bin_07	507_1	species_588	species_member
FRAM18	FRAM18_4514_A_metabat_bin_01	507_1	species_588	species_member
FRAM18	FRAM18_4571_PB_H_metabat_bin_05	507_1	species_588	species_rep
FRAM18	FRAM18_4502_K_concoct_bin_05	508_1	species_589	species_rep
FRAM18	FRAM18_4571_PB_K_concoct_bin_08	508_1	species_589	species_member
MOSAiC	mosaic_3300046451_19	508_1	species_589	species_member
FRAM_EGC	FRAM_RAS_EGC1617_bin19	508_2	species_590	species_rep
FRAM18	FRAM18_4502_E_concoct_bin_01	509_1	species_591	species_rep
FRAM18	FRAM18_4502_F_metabat_bin_08	509_1	species_591	species_member
FRAM18	FRAM18_4502_G_concoct_bin_03	509_1	species_591	species_member
FRAM18	FRAM18_4514_A_metabat_bin_13	509_1	species_591	species_member
TARA	TOA-bin-2991	509_1	species_591	species_member
MOSAiC	mosaic_3300046451_82	509_1	species_591	species_member
TARA	TOA-bin-116	510_0	species_592	species_rep
TARA	TOA-bin-2020	511_0	species_593	species_rep
TARA	TOA-bin-3272	512_0	species_594	species_rep
TARA	TOA-bin-1463	513_0	species_595	species_rep
TARA	TOA-bin-1514	514_0	species_596	species_rep
MOSAiC	mosaic_3300045738_80	515_0	species_597	species_rep
TARA	TOA-bin-2290	516_0	species_598	species_rep
MOSAiC	mosaic_3300046451_71	517_0	species_599	species_rep
MOSAiC	mosaic_3300046532_32	518_0	species_600	species_rep
TARA	TOA-bin-1562	519_0	species_601	species_rep
TARA	TOA-bin-2542	520_0	species_602	species_rep
TARA	TOA-bin-1557	521_0	species_603	species_rep
MOSAiC	mosaic_3300046450_79	522_0	species_604	species_rep
MOSAiC	mosaic_3300046532_216	523_0	species_605	species_rep
TARA	TOA-bin-1481	524_1	species_606	species_rep
MOSAiC	mosaic_3300046532_90	524_1	species_606	species_member
TARA	TOA-bin-2285	525_0	species_607	species_rep
TARA	TOA-bin-959	526_1	species_608	species_member
MOSAiC	mosaic_3300046532_21	526_1	species_608	species_rep
TARA	TOA-bin-455	527_0	species_609	species_rep
MOSAiC	mosaic_3300046532_181	528_0	species_610	species_rep
TARA	TOA-bin-826	529_1	species_611	species_rep
MOSAiC	mosaic_3300047669_141	529_2	species_612	species_rep
MOSAiC	mosaic_3300046451_4	530_0	species_613	species_rep
MOSAiC	mosaic_3300046532_64	531_0	species_614	species_rep
MOSAiC	mosaic_3300045738_86	532_0	species_615	species_rep
MOSAiC	mosaic_3300046451_16	533_0	species_616	species_rep
FRAM18	FRAM18_4502_E_metabat_bin_02	534_1	species_617	species_rep
TARA	TOA-bin-818	534_1	species_617	species_member
TARA	TOA-bin-2461	535_0	species_618	species_rep
MOSAiC	mosaic_3300046103_1	536_0	species_619	species_rep
MOSAiC	mosaic_3300045738_178	537_0	species_620	species_rep
MOSAiC	mosaic_3300046532_59	538_0	species_621	species_rep
MOSAiC	mosaic_3300045738_42	539_0	species_622	species_rep
MOSAiC	mosaic_3300047668_112	540_0	species_623	species_rep
MOSAiC	mosaic_3300045738_172	541_0	species_624	species_rep
MOSAiC	mosaic_3300045738_130	542_0	species_625	species_rep
TARA	TOA-bin-945	543_0	species_626	species_rep
FRAM_EGC	FRAM_RAS_EGC1617_bin3	544_1	species_627	species_member
MOSAiC	mosaic_3300046532_16	544_1	species_627	species_rep
MOSAiC	mosaic_3300046451_66	544_2	species_628	species_rep
MOSAiC	mosaic_3300045738_30	545_0	species_629	species_rep
MOSAiC	mosaic_3300045738_102	546_0	species_630	species_rep
MOSAiC	mosaic_3300046532_179	547_0	species_631	species_rep
TARA	TOA-bin-823	548_0	species_632	species_rep
MOSAiC	mosaic_3300045738_226	549_0	species_633	species_rep
MOSAiC	mosaic_3300045738_134	550_0	species_634	species_rep
MOSAiC	mosaic_3300045738_173	551_0	species_635	species_rep
TARA	TOA-bin-1951	552_1	species_636	species_rep
TARA	TOA-bin-20	552_2	species_637	species_rep
TARA	TOA-bin-977	553_1	species_638	species_rep
MOSAiC	mosaic_3300046467_128	553_1	species_638	species_member
TARA	TOA-bin-2094	554_0	species_639	species_rep
MOSAiC	mosaic_3300045738_192	555_0	species_640	species_rep
MOSAiC	mosaic_3300045738_200	556_0	species_641	species_rep
TARA	TOA-bin-6	557_1	species_642	species_rep
MOSAiC	mosaic_3300046467_59	557_1	species_642	species_member
