Gene,description
K02005,HlyD family secretion protein
K02006,cobalt/nickel transport system ATP-binding protein
K02007,cobalt/nickel transport system permease protein
K02008,cobalt/nickel transport system permease protein
K02009,cobalt/nickel transport protein
K02010,iron(III) transport system ATP-binding protein [EC:7.2.2.7]
K02011,iron(III) transport system permease protein
K02012,iron(III) transport system substrate-binding protein
K02013,iron complex transport system ATP-binding protein [EC:7.2.2.-]
K02014,iron complex outermembrane recepter protein
K02015,iron complex transport system permease protein
K02016,iron complex transport system substrate-binding protein
K02017,molybdate transport system ATP-binding protein [EC:7.3.2.5]
K02018,molybdate transport system permease protein
K02019,molybdate transport system regulatory protein
K02020,molybdate transport system substrate-binding protein
K02024,maltoporin
K02025,multiple sugar transport system permease protein
K02026,multiple sugar transport system permease protein
K02027,multiple sugar transport system substrate-binding protein
K02028,polar amino acid transport system ATP-binding protein [EC:7.4.2.1]
K02029,polar amino acid transport system permease protein
K02030,polar amino acid transport system substrate-binding protein
K02031,peptide/nickel transport system ATP-binding protein
K02032,peptide/nickel transport system ATP-binding protein
K02033,peptide/nickel transport system permease protein
K02034,peptide/nickel transport system permease protein
K02035,peptide/nickel transport system substrate-binding protein
K02036,phosphate transport system ATP-binding protein [EC:7.3.2.1]
K02037,phosphate transport system permease protein
K02038,phosphate transport system permease protein
K02039,phosphate transport system protein
K02040,phosphate transport system substrate-binding protein
K02041,phosphonate transport system ATP-binding protein [EC:7.3.2.2]
K02042,phosphonate transport system permease protein
K02043,"GntR family transcriptional regulator, phosphonate transport system regulatory protein"
K02044,phosphonate transport system substrate-binding protein
K02045,sulfate/thiosulfate transport system ATP-binding protein [EC:7.3.2.3]
K02046,sulfate/thiosulfate transport system permease protein
K02047,sulfate/thiosulfate transport system permease protein
K02048,sulfate/thiosulfate transport system substrate-binding protein
K02049,NitT/TauT family transport system ATP-binding protein
K02050,NitT/TauT family transport system permease protein
K02051,NitT/TauT family transport system substrate-binding protein
K02052,putative spermidine/putrescine transport system ATP-binding protein
K02053,putative spermidine/putrescine transport system permease protein
K02054,putative spermidine/putrescine transport system permease protein
K02055,putative spermidine/putrescine transport system substrate-binding protein
K02056,simple sugar transport system ATP-binding protein [EC:7.5.2.-]
K02057,simple sugar transport system permease protein
K02058,simple sugar transport system substrate-binding protein
K02063,thiamine transport system permease protein
K02064,thiamine transport system substrate-binding protein
K02065,phospholipid/cholesterol/gamma-HCH transport system ATP-binding protein
K02066,phospholipid/cholesterol/gamma-HCH transport system permease protein
K02067,phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein
K02068,UDP-glucose/iron transport system ATP-binding protein
K02069,UDP-glucose/iron transport system permease protein
K02071,D-methionine transport system ATP-binding protein
K02072,D-methionine transport system permease protein
K02073,D-methionine transport system substrate-binding protein
K02074,zinc/manganese transport system ATP-binding protein
K02075,zinc/manganese transport system permease protein
K02077,zinc/manganese transport system substrate-binding protein
K02078,acyl carrier protein
K02080,galactosamine-6-phosphate isomerase [EC:5.3.1.-]
K02081,"DeoR family transcriptional regulator, aga operon transcriptional repressor"
K02082,tagatose-6-phosphate ketose/aldose isomerase [EC:5.-.-.-]
K02083,allantoate deiminase [EC:3.5.3.9]
K02086,DNA replication protein
K02092,allophycocyanin alpha subunit
K02093,allophycocyanin beta subunit
K02094,phycobilisome core linker protein
K02095,allophycocyanin-B
K02096,phycobilisome core-membrane linker protein
K02099,"AraC family transcriptional regulator, arabinose operon regulatory protein"
K02100,"MFS transporter, SP family, arabinose:H+ symporter"
K02101,arabinose operon protein AraL
K02103,"GntR family transcriptional regulator, arabinose operon transcriptional repressor"
K02106,short-chain fatty acids transporter
K02107,V/A-type H+/Na+-transporting ATPase subunit G/H
K02108,F-type H+-transporting ATPase subunit a
K02109,F-type H+-transporting ATPase subunit b
K02110,F-type H+-transporting ATPase subunit c
K02111,F-type H+/Na+-transporting ATPase subunit alpha [EC:7.1.2.2 7.2.2.1]
K02112,F-type H+/Na+-transporting ATPase subunit beta [EC:7.1.2.2 7.2.2.1]
K02113,F-type H+-transporting ATPase subunit delta
K02114,F-type H+-transporting ATPase subunit epsilon
K02115,F-type H+-transporting ATPase subunit gamma
K02116,ATP synthase protein I
K02117,V/A-type H+/Na+-transporting ATPase subunit A [EC:7.1.2.2 7.2.2.1]
K02118,V/A-type H+/Na+-transporting ATPase subunit B
K02119,V/A-type H+/Na+-transporting ATPase subunit C
K02120,V/A-type H+/Na+-transporting ATPase subunit D
K02121,V/A-type H+/Na+-transporting ATPase subunit E
K02122,V/A-type H+/Na+-transporting ATPase subunit F
K02123,V/A-type H+/Na+-transporting ATPase subunit I
K02124,V/A-type H+/Na+-transporting ATPase subunit K
K02125,F-type H+-transporting ATPase subunit 8
K02126,F-type H+-transporting ATPase subunit a
K02128,F-type H+-transporting ATPase subunit c
K02132,F-type H+-transporting ATPase subunit alpha
K02133,F-type H+-transporting ATPase subunit beta [EC:7.1.2.2]
K02138,F-type H+-transporting ATPase subunit d
K02144,V-type H+-transporting ATPase subunit H
K02151,V-type H+-transporting ATPase subunit F
K02154,V-type H+-transporting ATPase subunit a
K02155,V-type H+-transporting ATPase 16kDa proteolipid subunit
K02156,aubergine
K02160,acetyl-CoA carboxylase biotin carboxyl carrier protein
K02164,nitric oxide reductase NorE protein
K02167,"TetR/AcrR family transcriptional regulator, transcriptional repressor of bet genes"
K02168,choline/glycine/proline betaine transport protein
K02169,malonyl-CoA O-methyltransferase [EC:2.1.1.197]
K02170,pimeloyl-[acyl-carrier protein] methyl ester esterase [EC:3.1.1.85]
K02171,"BlaI family transcriptional regulator, penicillinase repressor"
K02172,bla regulator protein blaR1
K02173,putative kinase
K02182,carnitine-CoA ligase [EC:6.2.1.48]
K02183,calmodulin
K02188,cobalt-precorrin-5B (C1)-methyltransferase [EC:2.1.1.195]
K02189,cobalt-precorrin 5A hydrolase [EC:3.7.1.12]
K02191,cobalt-precorrin-6B (C15)-methyltransferase [EC:2.1.1.196]
K02192,bacterioferritin-associated ferredoxin
K02193,heme exporter protein A [EC:7.6.2.5]
K02194,heme exporter protein B
K02195,heme exporter protein C
K02196,heme exporter protein D
K02197,cytochrome c-type biogenesis protein CcmE
K02198,cytochrome c-type biogenesis protein CcmF
K02199,"cytochrome c biogenesis protein CcmG, thiol:disulfide interchange protein DsbE"
K02200,cytochrome c-type biogenesis protein CcmH
K02201,pantetheine-phosphate adenylyltransferase [EC:2.7.7.3]
K02203,phosphoserine / homoserine phosphotransferase [EC:3.1.3.3 2.7.1.39]
K02204,homoserine kinase type II [EC:2.7.1.39]
K02212,DNA replication licensing factor MCM4 [EC:3.6.4.12]
K02216,serine/threonine-protein kinase CHEK1 [EC:2.7.11.1]
K02217,ferritin [EC:1.16.3.2]
K02221,YggT family protein
K02224,"cobyrinic acid a,c-diamide synthase [EC:6.3.5.9 6.3.5.11]"
K02225,cobalamin biosynthesis protein CobC
K02226,alpha-ribazole phosphatase [EC:3.1.3.73]
K02227,adenosylcobinamide-phosphate synthase [EC:6.3.1.10]
K02228,precorrin-6A synthase [EC:2.1.1.152]
K02229,precorrin-3B synthase [EC:1.14.13.83]
K02230,cobaltochelatase CobN [EC:6.6.1.2]
K02231,adenosylcobinamide kinase / adenosylcobinamide-phosphate guanylyltransferase [EC:2.7.1.156 2.7.7.62]
K02232,adenosylcobyric acid synthase [EC:6.3.5.10]
K02233,adenosylcobinamide-GDP ribazoletransferase [EC:2.7.8.26]
K02234,cobalamin biosynthesis protein CobW
K02236,leader peptidase (prepilin peptidase) / N-methyltransferase [EC:3.4.23.43 2.1.1.-]
K02237,competence protein ComEA
K02238,competence protein ComEC
K02242,competence protein ComFC
K02246,competence protein ComGD
K02256,cytochrome c oxidase subunit 1 [EC:7.1.1.9]
K02257,heme o synthase [EC:2.5.1.141]
K02258,cytochrome c oxidase assembly protein subunit 11
K02259,heme a synthase [EC:1.17.99.9]
K02261,cytochrome c oxidase subunit 2
K02262,cytochrome c oxidase subunit 3
K02274,cytochrome c oxidase subunit I [EC:7.1.1.9]
K02275,cytochrome c oxidase subunit II [EC:7.1.1.9]
K02276,cytochrome c oxidase subunit III [EC:7.1.1.9]
K02277,cytochrome c oxidase subunit IV [EC:7.1.1.9]
K02278,prepilin peptidase CpaA [EC:3.4.23.43]
K02279,pilus assembly protein CpaB
K02280,pilus assembly protein CpaC
K02281,pilus assembly protein CpaD
K02282,pilus assembly protein CpaE
K02283,pilus assembly protein CpaF [EC:7.4.2.8]
K02284,phycocyanin alpha chain
K02285,phycocyanin beta chain
K02288,phycocyanobilin lyase subunit alpha [EC:4.4.1.32]
K02289,phycocyanobilin lyase subunit beta [EC:4.4.1.32]
K02290,phycobilisome rod-core linker protein
K02291,15-cis-phytoene synthase [EC:2.5.1.32]
K02293,15-cis-phytoene desaturase [EC:1.3.5.5]
K02294,beta-carotene hydroxylase [EC:1.14.13.-]
K02295,cryptochrome
K02297,cytochrome o ubiquinol oxidase subunit II [EC:7.1.1.3]
K02298,cytochrome o ubiquinol oxidase subunit I [EC:7.1.1.3]
K02299,cytochrome o ubiquinol oxidase subunit III
K02300,cytochrome o ubiquinol oxidase subunit IV
K02302,uroporphyrin-III C-methyltransferase / precorrin-2 dehydrogenase / sirohydrochlorin ferrochelatase [EC:2.1.1.107 1.3.1.76 4.99.1.4]
K02303,uroporphyrin-III C-methyltransferase [EC:2.1.1.107]
K02305,nitric oxide reductase subunit C
K02313,chromosomal replication initiator protein
K02314,replicative DNA helicase [EC:3.6.4.12]
K02315,DNA replication protein DnaC
K02316,DNA primase [EC:2.7.7.101]
K02317,DNA replication protein DnaT
K02319,"DNA polymerase, archaea type [EC:2.7.7.7]"
K02320,DNA polymerase alpha subunit A [EC:2.7.7.7]
K02321,DNA polymerase alpha subunit B
K02322,DNA polymerase II large subunit [EC:2.7.7.7]
K02323,DNA polymerase II small subunit [EC:2.7.7.7]
K02324,DNA polymerase epsilon subunit 1 [EC:2.7.7.7]
K02332,DNA polymerase gamma 1 [EC:2.7.7.7]
K02334,DNA polymerase bacteriophage-type [EC:2.7.7.7]
K02335,DNA polymerase I [EC:2.7.7.7]
K02336,DNA polymerase II [EC:2.7.7.7]
K02337,DNA polymerase III subunit alpha [EC:2.7.7.7]
K02338,DNA polymerase III subunit beta [EC:2.7.7.7]
K02339,DNA polymerase III subunit chi [EC:2.7.7.7]
K02340,DNA polymerase III subunit delta [EC:2.7.7.7]
K02341,DNA polymerase III subunit delta- [EC:2.7.7.7]
K02342,DNA polymerase III subunit epsilon [EC:2.7.7.7]
K02343,DNA polymerase III subunit gamma/tau [EC:2.7.7.7]
K02346,DNA polymerase IV [EC:2.7.7.7]
K02347,DNA polymerase (family X)
K02348,ElaA protein
K02351,putative membrane protein
K02355,elongation factor G
K02356,elongation factor P
K02357,elongation factor Ts
K02358,elongation factor Tu
K02361,isochorismate synthase [EC:5.4.4.2]
K02362,enterobactin synthetase component D [EC:6.3.2.14 2.7.8.-]
K02363,"2,3-dihydroxybenzoate-AMP ligase [EC:6.3.2.14 2.7.7.58]"
K02365,separase [EC:3.4.22.49]
K02371,enoyl-[acyl-carrier protein] reductase II [EC:1.3.1.9]
K02372,3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59]
K02377,GDP-L-fucose synthase [EC:1.1.1.271]
K02379,FdhD protein
K02380,FdhE protein
K02381,FdrA protein
K02383,flagellar protein FlbB
K02385,flagellar protein FlbD
K02386,flagellar basal body P-ring formation protein FlgA
K02387,flagellar basal-body rod protein FlgB
K02388,flagellar basal-body rod protein FlgC
K02389,flagellar basal-body rod modification protein FlgD
K02390,flagellar hook protein FlgE
K02391,flagellar basal-body rod protein FlgF
K02392,flagellar basal-body rod protein FlgG
K02393,flagellar L-ring protein FlgH
K02394,flagellar P-ring protein FlgI
K02395,peptidoglycan hydrolase FlgJ
K02396,flagellar hook-associated protein 1
K02397,flagellar hook-associated protein 3 FlgL
K02398,negative regulator of flagellin synthesis FlgM
K02399,flagellar biosynthesis protein FlgN
K02400,flagellar biosynthesis protein FlhA
K02401,flagellar biosynthesis protein FlhB
K02402,flagellar transcriptional activator FlhC
K02404,flagellar biosynthesis protein FlhF
K02405,RNA polymerase sigma factor FliA
K02406,flagellin
K02407,flagellar hook-associated protein 2
K02408,flagellar hook-basal body complex protein FliE
K02409,flagellar M-ring protein FliF
K02410,flagellar motor switch protein FliG
K02411,flagellar assembly protein FliH
K02412,flagellum-specific ATP synthase [EC:7.4.2.8]
K02413,flagellar protein FliJ
K02414,flagellar hook-length control protein FliK
K02415,flagellar protein FliL
K02416,flagellar motor switch protein FliM
K02417,flagellar motor switch protein FliN
K02418,flagellar protein FliO/FliZ
K02419,flagellar biosynthesis protein FliP
K02420,flagellar biosynthesis protein FliQ
K02421,flagellar biosynthesis protein FliR
K02422,flagellar secretion chaperone FliS
K02423,flagellar protein FliT
K02424,L-cystine transport system substrate-binding protein
K02426,cysteine desulfuration protein SufE
K02427,23S rRNA (uridine2552-2--O)-methyltransferase [EC:2.1.1.166]
K02428,XTP/dITP diphosphohydrolase [EC:3.6.1.66]
K02429,"MFS transporter, FHS family, L-fucose permease"
K02431,L-fucose mutarotase [EC:5.1.3.29]
K02433,aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A [EC:6.3.5.6 6.3.5.7]
K02434,aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B [EC:6.3.5.6 6.3.5.7]
K02435,aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit C [EC:6.3.5.6 6.3.5.7]
K02437,glycine cleavage system H protein
K02439,thiosulfate sulfurtransferase [EC:2.8.1.1]
K02440,glycerol uptake facilitator protein
K02441,GlpG protein
K02443,glycerol uptake operon antiterminator
K02444,"DeoR family transcriptional regulator, glycerol-3-phosphate regulon repressor"
K02445,"MFS transporter, OPA family, glycerol-3-phosphate transporter"
K02446,"fructose-1,6-bisphosphatase II [EC:3.1.3.11]"
K02448,nitric oxide reductase NorD protein
K02450,general secretion pathway protein A
K02451,general secretion pathway protein B
K02452,general secretion pathway protein C
K02453,general secretion pathway protein D
K02454,general secretion pathway protein E [EC:7.4.2.8]
K02455,general secretion pathway protein F
K02456,general secretion pathway protein G
K02457,general secretion pathway protein H
K02458,general secretion pathway protein I
K02459,general secretion pathway protein J
K02460,general secretion pathway protein K
K02461,general secretion pathway protein L
K02462,general secretion pathway protein M
K02463,general secretion pathway protein N
K02469,DNA gyrase subunit A [EC:5.6.2.2]
K02470,DNA gyrase subunit B [EC:5.6.2.2]
K02471,vitamin B12/bleomycin/antimicrobial peptide transport system ATP-binding/permease protein
K02472,UDP-N-acetyl-D-mannosaminuronic acid dehydrogenase [EC:1.1.1.336]
K02473,UDP-N-acetylglucosamine/UDP-N-acetylgalactosamine 4-epimerase [EC:5.1.3.7 5.1.3.-]
K02474,UDP-N-acetyl-D-glucosamine/UDP-N-acetyl-D-galactosamine dehydrogenase [EC:1.1.1.136 1.1.1.-]
K02475,"two-component system, CitB family, response regulator"
K02476,"two-component system, CitB family, sensor kinase [EC:2.7.13.3]"
K02477,"two-component system, LytTR family, response regulator"
K02478,"two-component system, LytTR family, sensor kinase [EC:2.7.13.3]"
K02480,"two-component system, NarL family, sensor kinase [EC:2.7.13.3]"
K02481,"two-component system, NtrC family, response regulator"
K02482,"two-component system, NtrC family, sensor kinase [EC:2.7.13.3]"
K02483,"two-component system, OmpR family, response regulator"
K02484,"two-component system, OmpR family, sensor kinase [EC:2.7.13.3]"
K02488,"two-component system, cell cycle response regulator [EC:2.7.7.65]"
K02492,glutamyl-tRNA reductase [EC:1.2.1.70]
K02493,release factor glutamine methyltransferase [EC:2.1.1.297]
K02494,outer membrane lipoprotein LolB
K02495,oxygen-independent coproporphyrinogen III oxidase [EC:1.3.98.3]
K02496,uroporphyrin-III C-methyltransferase [EC:2.1.1.107]
K02497,HemX protein
K02498,HemY protein
K02499,tetrapyrrole methylase family protein / MazG family protein
K02500,imidazole glycerol-phosphate synthase subunit HisF [EC:4.3.2.10]
K02501,imidazole glycerol-phosphate synthase subunit HisH [EC:4.3.2.10]
K02502,ATP phosphoribosyltransferase regulatory subunit
K02503,histidine triad (HIT) family protein
K02508,"AraC family transcriptional regulator, 4-hydroxyphenylacetate 3-monooxygenase operon regulatory protein"
K02509,"2-oxo-hept-3-ene-1,7-dioate hydratase [EC:4.2.1.-]"
K02510,4-hydroxy-2-oxoheptanedioate aldolase [EC:4.1.2.52]
K02516,type II protein arginine methyltransferase [EC:2.1.1.320]
K02517,Kdo2-lipid IVA lauroyltransferase/acyltransferase [EC:2.3.1.241 2.3.1.-]
K02518,translation initiation factor IF-1
K02519,translation initiation factor IF-2
K02520,translation initiation factor IF-3
K02521,"LysR family transcriptional regulator, positive regulator for ilvC"
K02523,octaprenyl-diphosphate synthase [EC:2.5.1.90]
K02525,"LacI family transcriptional regulator, kdg operon repressor"
K02527,3-deoxy-D-manno-octulosonic-acid transferase [EC:2.4.99.12 2.4.99.13 2.4.99.14 2.4.99.15]
K02528,16S rRNA (adenine1518-N6/adenine1519-N6)-dimethyltransferase [EC:2.1.1.182]
K02529,LacI family transcriptional regulator
K02533,tRNA/rRNA methyltransferase [EC:2.1.1.-]
K02535,UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase [EC:3.5.1.108]
K02536,UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase [EC:2.3.1.191]
K02541,DNA replication licensing factor MCM3 [EC:3.6.4.12]
K02548,"1,4-dihydroxy-2-naphthoate polyprenyltransferase [EC:2.5.1.74]"
K02549,o-succinylbenzoate synthase [EC:4.2.1.113]
K02551,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase [EC:2.2.1.9]
K02552,menaquinone-specific isochorismate synthase [EC:5.4.4.2]
K02553,regulator of ribonuclease activity A
K02554,2-keto-4-pentenoate hydratase [EC:4.2.1.80]
K02556,chemotaxis protein MotA
K02557,chemotaxis protein MotB
K02558,UDP-N-acetylmuramate: L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase [EC:6.3.2.45]
K02560,lauroyl-Kdo2-lipid IVA myristoyltransferase [EC:2.3.1.243]
K02563,UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase [EC:2.4.1.227]
K02564,glucosamine-6-phosphate deaminase [EC:3.5.99.6]
K02566,NagD protein
K02568,"nitrate reductase (cytochrome), electron transfer subunit"
K02569,cytochrome c-type protein NapC
K02570,periplasmic nitrate reductase NapD
K02571,periplasmic nitrate reductase NapE
K02572,ferredoxin-type protein NapF
K02573,ferredoxin-type protein NapG
K02574,ferredoxin-type protein NapH
K02575,"MFS transporter, NNP family, nitrate/nitrite transporter"
K02584,Nif-specific regulatory protein
K02598,nitrite transporter
K02600,transcription termination/antitermination protein NusA
K02601,transcription termination/antitermination protein NusG
K02609,"ring-1,2-phenylacetyl-CoA epoxidase subunit PaaA [EC:1.14.13.149]"
K02610,"ring-1,2-phenylacetyl-CoA epoxidase subunit PaaB"
K02611,"ring-1,2-phenylacetyl-CoA epoxidase subunit PaaC [EC:1.14.13.149]"
K02612,"ring-1,2-phenylacetyl-CoA epoxidase subunit PaaD"
K02613,"ring-1,2-phenylacetyl-CoA epoxidase subunit PaaE"
K02614,acyl-CoA thioesterase [EC:3.1.2.-]
K02616,phenylacetic acid degradation operon negative regulatory protein
K02617,phenylacetic acid degradation protein
K02618,"oxepin-CoA hydrolase / 3-oxo-5,6-dehydrosuberyl-CoA semialdehyde dehydrogenase [EC:3.3.2.12 1.2.1.91]"
K02619,4-amino-4-deoxychorismate lyase [EC:4.1.3.38]
K02621,topoisomerase IV subunit A [EC:5.6.2.2]
K02622,topoisomerase IV subunit B [EC:5.6.2.2]
K02623,"LysR family transcriptional regulator, pca operon transcriptional activator"
K02624,"IclR family transcriptional regulator, pca regulon regulatory protein"
K02626,arginine decarboxylase [EC:4.1.1.19]
K02634,apocytochrome f
K02635,cytochrome b6
K02636,cytochrome b6-f complex iron-sulfur subunit [EC:7.1.1.6]
K02637,cytochrome b6-f complex subunit 4
K02638,plastocyanin
K02639,ferredoxin
K02640,cytochrome b6-f complex subunit 5
K02641,ferredoxin--NADP+ reductase [EC:1.18.1.2]
K02643,cytochrome b6-f complex subunit 7
K02647,carbohydrate diacid regulator
K02650,type IV pilus assembly protein PilA
K02651,pilus assembly protein Flp/PilA
K02652,type IV pilus assembly protein PilB
K02653,type IV pilus assembly protein PilC
K02654,leader peptidase (prepilin peptidase) / N-methyltransferase [EC:3.4.23.43 2.1.1.-]
K02655,type IV pilus assembly protein PilE
K02656,type IV pilus assembly protein PilF
K02657,twitching motility two-component system response regulator PilG
K02658,twitching motility two-component system response regulator PilH
K02659,twitching motility protein PilI
K02660,twitching motility protein PilJ
K02661,type IV pilus assembly protein PilK
K02662,type IV pilus assembly protein PilM
K02663,type IV pilus assembly protein PilN
K02664,type IV pilus assembly protein PilO
K02665,type IV pilus assembly protein PilP
K02666,type IV pilus assembly protein PilQ
K02667,"two-component system, NtrC family, response regulator PilR"
K02668,"two-component system, NtrC family, sensor histidine kinase PilS [EC:2.7.13.3]"
K02669,twitching motility protein PilT
K02670,twitching motility protein PilU
K02671,type IV pilus assembly protein PilV
K02672,type IV pilus assembly protein PilW
K02673,type IV pilus assembly protein PilX
K02674,type IV pilus assembly protein PilY1
K02676,type IV pilus assembly protein PilZ
K02680,prepilin peptidase dependent protein B
K02683,DNA primase small subunit [EC:2.7.7.102]
K02686,primosomal replication protein N
K02687,ribosomal protein L11 methyltransferase [EC:2.1.1.-]
K02688,"transcriptional regulator, propionate catabolism operon regulatory protein"
K02689,photosystem I P700 chlorophyll a apoprotein A1
K02691,photosystem I subunit VII
K02692,photosystem I subunit II
K02693,photosystem I subunit IV
K02694,photosystem I subunit III
K02696,photosystem I subunit VIII
K02697,photosystem I subunit IX
K02698,photosystem I subunit X
K02699,photosystem I subunit XI
K02700,photosystem I subunit XII
K02703,photosystem II P680 reaction center D1 protein [EC:1.10.3.9]
K02704,photosystem II CP47 chlorophyll apoprotein
K02705,photosystem II CP43 chlorophyll apoprotein
K02706,photosystem II P680 reaction center D2 protein [EC:1.10.3.9]
K02707,photosystem II cytochrome b559 subunit alpha
K02708,photosystem II cytochrome b559 subunit beta
K02709,photosystem II PsbH protein
K02710,photosystem II PsbI protein
K02711,photosystem II PsbJ protein
K02712,photosystem II PsbK protein
K02713,photosystem II PsbL protein
K02714,photosystem II PsbM protein
K02715,PsbN protein
K02716,photosystem II oxygen-evolving enhancer protein 1
K02717,photosystem II oxygen-evolving enhancer protein 2
K02718,photosystem II PsbT protein
K02720,photosystem II cytochrome c550
K02722,photosystem II PsbX protein
K02723,photosystem II PsbY protein
K02724,photosystem II PsbZ protein
K02725,20S proteasome subunit alpha 6 [EC:3.4.25.1]
K02727,20S proteasome subunit alpha 7 [EC:3.4.25.1]
K02734,20S proteasome subunit beta 4 [EC:3.4.25.1]
K02735,20S proteasome subunit beta 3 [EC:3.4.25.1]
K02742,SprT protein
K02759,cellobiose PTS system EIIA component [EC:2.7.1.196 2.7.1.205]
K02760,cellobiose PTS system EIIB component [EC:2.7.1.196 2.7.1.205]
K02761,cellobiose PTS system EIIC component
K02768,fructose PTS system EIIA component [EC:2.7.1.202]
K02770,fructose PTS system EIIBC or EIIC component [EC:2.7.1.202]
K02774,galactitol PTS system EIIB component [EC:2.7.1.200]
K02775,galactitol PTS system EIIC component
K02781,glucitol/sorbitol PTS system EIIA component [EC:2.7.1.198]
K02782,glucitol/sorbitol PTS system EIIB component [EC:2.7.1.198]
K02783,glucitol/sorbitol PTS system EIIC component
K02784,phosphocarrier protein HPr
K02793,mannose PTS system EIIA component [EC:2.7.1.191]
K02795,mannose PTS system EIIC component
K02800,mannitol PTS system EIICBA or EIICB component [EC:2.7.1.197]
K02803,N-acetylglucosamine PTS system EIIB component [EC:2.7.1.193]
K02805,"dTDP-4-amino-4,6-dideoxygalactose transaminase [EC:2.6.1.59]"
K02806,nitrogen PTS system EIIA component [EC:2.7.1.-]
K02819,trehalose PTS system EIIBC or EIIBCA component [EC:2.7.1.201]
K02823,dihydroorotate dehydrogenase electron transfer subunit
K02824,uracil permease
K02825,pyrimidine operon attenuation protein / uracil phosphoribosyltransferase [EC:2.4.2.9]
K02834,ribosome-binding factor A
K02835,peptide chain release factor 1
K02836,peptide chain release factor 2
K02837,peptide chain release factor 3
K02838,ribosome recycling factor
K02839,peptide chain release factor
K02841,heptosyltransferase I [EC:2.4.-.-]
K02843,heptosyltransferase II [EC:2.4.-.-]
K02844,"UDP-glucose:(heptosyl)LPS alpha-1,3-glucosyltransferase [EC:2.4.1.-]"
K02847,O-antigen ligase [EC:2.4.1.-]
K02848,heptose I phosphotransferase [EC:2.7.1.-]
K02849,heptosyltransferase III [EC:2.4.-.-]
K02851,UDP-GlcNAc:undecaprenyl-phosphate/decaprenyl-phosphate GlcNAc-1-phosphate transferase [EC:2.7.8.33 2.7.8.35]
K02852,UDP-N-acetyl-D-mannosaminouronate:lipid I N-acetyl-D-mannosaminouronosyltransferase [EC:2.4.1.180]
K02855,"AraC family transcriptional regulator, L-rhamnose operon regulatory protein RhaS"
K02856,L-rhamnose-H+ transport protein
K02859,riboflavin biosynthesis RibT protein
K02860,16S rRNA processing protein RimM
K02862,putative membrane protein
K02863,large subunit ribosomal protein L1
K02864,large subunit ribosomal protein L10
K02866,large subunit ribosomal protein L10e
K02867,large subunit ribosomal protein L11
K02869,large subunit ribosomal protein L12
K02871,large subunit ribosomal protein L13
K02874,large subunit ribosomal protein L14
K02876,large subunit ribosomal protein L15
K02877,large subunit ribosomal protein L15e
K02878,large subunit ribosomal protein L16
K02879,large subunit ribosomal protein L17
K02881,large subunit ribosomal protein L18
K02882,large subunit ribosomal protein L18Ae
K02883,large subunit ribosomal protein L18e
K02884,large subunit ribosomal protein L19
K02885,large subunit ribosomal protein L19e
K02886,large subunit ribosomal protein L2
K02887,large subunit ribosomal protein L20
K02888,large subunit ribosomal protein L21
K02889,large subunit ribosomal protein L21e
K02890,large subunit ribosomal protein L22
K02892,large subunit ribosomal protein L23
K02895,large subunit ribosomal protein L24
K02896,large subunit ribosomal protein L24e
K02897,large subunit ribosomal protein L25
K02899,large subunit ribosomal protein L27
K02902,large subunit ribosomal protein L28
K02904,large subunit ribosomal protein L29
K02905,large subunit ribosomal protein L29e
K02906,large subunit ribosomal protein L3
K02907,large subunit ribosomal protein L30
K02908,large subunit ribosomal protein L30e
K02909,large subunit ribosomal protein L31
K02910,large subunit ribosomal protein L31e
K02911,large subunit ribosomal protein L32
K02912,large subunit ribosomal protein L32e
K02913,large subunit ribosomal protein L33
K02914,large subunit ribosomal protein L34
K02916,large subunit ribosomal protein L35
K02917,large subunit ribosomal protein L35Ae
K02919,large subunit ribosomal protein L36
K02920,large subunit ribosomal protein L36e
K02921,large subunit ribosomal protein L37Ae
K02922,large subunit ribosomal protein L37e
K02924,large subunit ribosomal protein L39e
K02926,large subunit ribosomal protein L4
K02929,large subunit ribosomal protein L44e
K02930,large subunit ribosomal protein L4e
K02931,large subunit ribosomal protein L5
K02933,large subunit ribosomal protein L6
K02934,large subunit ribosomal protein L6e
K02935,large subunit ribosomal protein L7/L12
K02936,large subunit ribosomal protein L7Ae
K02937,large subunit ribosomal protein L7e
K02938,large subunit ribosomal protein L8e
K02939,large subunit ribosomal protein L9
K02944,large subunit ribosomal protein LX
K02945,small subunit ribosomal protein S1
K02946,small subunit ribosomal protein S10
K02948,small subunit ribosomal protein S11
K02950,small subunit ribosomal protein S12
K02951,small subunit ribosomal protein S12e
K02952,small subunit ribosomal protein S13
